eid,size,dataset_type,category,shape_type,data_unit,sentence
Id131,4,ge,Airport,,"Appleton_International_Airport cityServed Appleton,_Wisconsin Greenville,_Wisconsin isPartOf Dale,_Wisconsin Appleton,_Wisconsin isPartOf Grand_Chute,_Wisconsin Appleton_International_Airport location Greenville,_Wisconsin","Der internationale Flughafen Appleton befindet sich in Greenville, Wisconsin. Appletonmis Teil von Grand Chute, Wisconsin und Greenville ist Teil von Dale, Wisconsin. "
Id68,1,ge,SportsTeam,,A.S._Livorno_Calcio manager Christian_Panucci,A.s. Livorno Calcio wird von Christian Panucci geleitet. 
Id26,1,ge,SportsTeam,,A.C._Lumezzane manager Michele_Marcolini,Michele Marcolini ist Manager des AC Lumezzane. 
Id147,1,ge,Airport,,Antwerp_International_Airport owner Flemish_Region,Eigentümer des Flughafens von Antwerpen ist die flämische Region. 
Id149,2,ge,Building,,"Asser_Levy_Public_Baths location ""Asser Levy Place and East 23rd Street"" Asser_Levy_Public_Baths yearOfConstruction 1904","Asser Levy Public Baths, erbaut 1904, befindet sich auf Asser Levy Place und East 23. Street. "
Id33,3,ge,SportsTeam,,"A.C._Lumezzane league ""Lega Pro/A"" A.C._Lumezzane numberOfMembers 4150 A.C._Lumezzane season 2014–15_Lega_Pro","A.C. Lumezzane, mit 4150 Mitgliedern, ist in der Lega Pro / A-Liga und spielte während der Saison 2014. "
Id4,5,ge,Monument,,"Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku"" Baku_Turkish_Martyrs'_Memorial designer ""Hüseyin Bütüner and Hilmi Güner"" Baku_Turkish_Martyrs'_Memorial location Azerbaijan Baku_Turkish_Martyrs'_Memorial material ""Red granite and white marble"" Baku_Turkish_Martyrs'_Memorial nativeName ""Türk Şehitleri Anıtı""","Huseyin Butuner und Hilmi Guner gestalteten den roten Granit und weißen Marmor Baku Turkish Martyrs Gedenkstätte in Aserbaidschan. Es ist auch bekannt als Turk Sehitleri Aniti und ist den Soldaten der osmanischen Armee gewidmet, die in der Schlacht von Baku getötet wurden. "
Id210,1,ge,Airport,,Denmark language Danish_language,Die Sprache Dänemarks ist Dänisch. 
Id18,1,ge,SportsTeam,,A.C._Chievo_Verona league Serie_A,AC Chievo Verona spielt in der Serie A. 
Id61,6,ge,University,,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Visvesvaraya_Technological_University city Belgaum Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology state Karnataka","Der Campus des Acharya Institute of Technology ist in Soldevanahalli, Acharya Dr. SarDampfalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore, Karnatka, 560090, Undia. Sein Direktor ist Dr. G.P. Prabhukumar. Es ist mit der Visvesvaraya Technological University in Belgaum verbunden. "
Id10,2,ge,Astronaut,,Alan_Shepard birthPlace New_Hampshire Alan_Shepard nationality United_States,Alan Shepard wurde im amerikanischen Bundesstaat New Hampshire geboren. 
Id154,3,ge,Building,,Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan birthPlace San_Francisco Julia_Morgan significantBuilding Asilomar_State_Beach,Julia Morgan (geboren San Francisco) entwarf Asilomar Conference Grounds und auch Asilomar State Beach. 
Id51,4,ge,Building,,"250_Delaware_Avenue cost ""110 million (dollars)"" 250_Delaware_Avenue floorArea 30843.8 (square metres) 250_Delaware_Avenue floorCount 12 250_Delaware_Avenue location United_States","250 Delaware Avenue in den Vereinigten Staaten hat 12 Etagen mit einer Gesamtfläche von 20843,8 Quadratmetern und kosten 110 Millionen Dollar zu bauen. "
Id90,2,ge,Food,,Ayam_penyet ingredient Fried_chicken Ayam_penyet region Singapore,Ayam Penyet ist ein Gericht aus Singapur und hat darin gebratenes Huhn. 
Id47,3,ge,SportsTeam,,"A.D._Isidro_Metapán fullname ""Asociación Deportiva"" A.D._Isidro_Metapán ground Estadio_Jorge_Calero_Suárez A.D._Isidro_Metapán numberOfMembers 10000",N. (Asociacion Deportiva) Isidro Metapan spielen im Estadio Jorge Calero Suarez und hat 10000 Mitglieder. 
Id35,1,ge,Building,,"250_Delaware_Avenue location Buffalo,_New_York","250 Delaware Avenue ist in Buffalo, New York. "
Id237,1,ge,Airport,,Iraq currency Iraqi_dinar,Die Währung des Irak ist der irakische Dinar. 
Id70,1,ge,Airport,,"Al_Asad_Airbase runwayName ""08/26""",08 / 26 ist die Start- und Landebahn der Al Asad Airbase. 
Id14,3,ge,SportsTeam,,Jens_Härtel club Berliner_AK_07 Jens_Härtel club SV_Babelsberg_03 1._FC_Magdeburg manager Jens_Härtel,Jens Härtel gehört zum Verein des SV Babelsberg 03. Zuvor betreute er den 1. FC Magdeburg und spielte für die Berliner AK 07. 
Id21,1,ge,Building,,200_Public_Square floorCount 45,Es gibt 45 Etagen auf 200 öffentlichen Platz. 
Id53,1,ge,SportsTeam,,A.F.C._Fylde manager Dave_Challinor,Dave Challinor ist der Manager des AFC Fylde. 
Id65,1,ge,ComicsCharacter,,Dane_Whitman_Black_Knight_(comicsCharacter) creator Roy_Thomas,"Dane Whitman Black Knight ist eine Comicfigur, die von Roy Thomas erschaffen wurde. "
Id38,2,ge,SportsTeam,,Michele_Marcolini club Vicenza_Calcio A.C._Lumezzane manager Michele_Marcolini,"Der Manager von A.C. Lumezzane ist Michele Marcolini, der für Vicenza Calcio spielt. "
Id179,2,ge,Food,,Batagor dishVariation Siomay Siomay dishVariation Shumai,"Batagor, Shumai und Siomay sind Variationen des gleichen Gerichts. "
Id23,2,ge,SportsTeam,,A.C._Chievo_Verona ground Stadio_Marc'Antonio_Bentegodi A.C._Chievo_Verona numberOfMembers 39371,Die Heimstätte von AC Chievo Verona ist Stadio Marc Antonio Bentegodi und sie haben 39371 Mitglieder. 
Id84,4,ge,Building,,Adare_Manor architect George_Richard_Pain Adare_Manor completionDate 1862 Adare_Manor location Adare Adare_Manor location County_Limerick,Adare Manor befindet sich in Adare in der Grafschaft Limerick und wurde 1862 fertiggestellt. Sein Architekt ist George Richard Pain. 
Id161,4,ge,Food,,Antioquia_Department country Colombia Lemon genus Citrus Bandeja_paisa ingredient Lemon Bandeja_paisa region Antioquia_Department,"Antioquia Department, Kolumbien, sind die Regionen, aus denen bandeja paisa stammt. Dazu gehört auch Zitrone (aus der Citrus-Gattung). "
Id17,3,ge,Airport,,"Abilene_Regional_Airport cityServed Abilene,_Texas Abilene,_Texas country United_States Abilene,_Texas isPartOf Jones_County,_Texas","Abilene Regionalflughafen bedient Abilene, Jones County, Texas, USA. "
Id15,2,ge,Food,,"Bacon_sandwich alternativeName ""Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm, bacon muffin"" Bacon_sandwich ingredient Bread","Das Speck-Sandwich, das eines von zwei Ingedients ist Brot, hat verschiedene Namen, darunter: Speck butty, Speck sarnie, rasher Sandwich, Speck Sanger, Stück 'n Speck, Speck Cob, Speck-Barm und Speck Muffin. "
Id24,6,ge,University,,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology numberOfPostgraduateStudents 700","Acharya Institute of Technology befindet sich am Campus In Soldevanahalli, Acharya Dr. Sardampfalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090 in Bangalore, Indien. Sein Direktor ist Dr. G. P. Prabhukumar und die Zugehörigkeit ist Visvesvaraya Technological University. "
Id7,3,ge,ComicsCharacter,,"Aurakles alternativeName ""Aurakles"" Aurakles creator Dick_Dillin Dick_Dillin nationality United_States",Die komische Buchfigur Aurakles (alternativer Name Aurakles) wurde von Dick Dillin aus den USA ins Leben gerufen. 
Id52,1,ge,Astronaut,,"Glen_Ridge,_New_Jersey isPartOf Essex_County,_New_Jersey",Glen Ridge liegt im Essex County in New Jersey. 
Id36,2,ge,Astronaut,,"Elliot_See birthPlace Dallas Elliot_See status ""Deceased""","Elliot See, der in Dallas geboren wurde, ist gestorben. "
Id9,3,ge,Food,,Almond division Flowering_plant Almond family Rosaceae Ajoblanco ingredient Almond,"Ajoblanco hat Mandel als eine seiner Zutaten, die Teil der Familie Rosaceae und in der Teilung der blühenden Pflanzen ist. "
Id69,1,ge,Astronaut,,"William_Anders timeInSpace ""8820.0""(minutes)","William Anders Zeit im All ist 8820,0 Minuten. "
Id33,6,ge,Monument,,"Atatürk_Monument_(İzmir) designer Pietro_Canonica Atatürk_Monument_(İzmir) inaugurationDate ""1932-07-27"" Turkey leader Ahmet_Davutoğlu Turkey leaderTitle President_of_Turkey Atatürk_Monument_(İzmir) location Turkey Atatürk_Monument_(İzmir) material ""Bronze""","Ahmet Davutoglu ist der türkische Regierungschef und wird offiziell Präsident der Türkei, wo sich das Atatürk-Denkmal in Izmir aus Bronze befindet und von Pietro Canonica entworfen wurde und am 27. Juli 1932 eingeweiht wurde. "
Id33,2,ge,Astronaut,,"Elliot_See deathDate ""1966-02-28"" Elliot_See deathPlace St._Louis",Elliot See starb am 28. Februar 1966 in St. Louis. 
Id28,3,ge,ComicsCharacter,,"Bananaman broadcastedBy ""STV"" Bananaman firstAired ""1983-10-03"" Bananaman starring Jill_Shilling","Jill Shilling spielte in Bananaman, die vom STV ausgestrahlt wird und am 3. Oktober 1983 erstmals ausgestrahlt wurde. "
Id233,2,ge,Food,,Bionico country Mexico Bionico ingredient Granola,"Granola ist eine Zutat von Bionico, ein Lebensmittel, das in Mexiko gefunden wird. "
Id40,1,ge,Astronaut,,"Buzz_Aldrin timeInSpace ""52.0""(minutes)",Buzz Aldrin war 52 Minuten im All. 
Id11,1,ge,Food,,Almond order Rosids,Mandeln sind von der Bestellung ROSIDS. 
Id133,3,ge,Food,,Baked_Alaska country France Baked_Alaska course Dessert Dessert dishVariation Cookie,"Cookies und Baked Alaska sind beide Desserts, aber letzteres Gericht kommt aus Frankreich. "
Id146,1,ge,Airport,,"Antwerp_International_Airport operatingOrganisation ""Flemish department of Mobility and Public Works""",Die Organisation des Flughafens Antwerpen International ist die flämische Abteilung für Mobilität und öffentliche Arbeiten. 
Id54,1,ge,Astronaut,,St._Louis isPartOf Kingdom_of_France,St. Louis war ein Teil des Königreichs Frankreich. 
Id2,2,ge,Building,,103_Colmore_Row architect John_Madin 103_Colmore_Row location Colmore_Row,John Madin ist der Architekt von 103 Colmore Row mit Sitz in Colmore Row. 
Id111,2,ge,Building,,Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall currentTenants Mason_School_of_Business,"Robert A. M. Stern ist der Architekt von Alan B. Miller Hall, von dem die Mason School of Business der aktuelle Mieter ist. "
Id8,2,ge,ComicsCharacter,,Blockbuster_(comicsCharacter) creator Roger_Stern Blockbuster_(comicsCharacter) creator Tom_Lyle,Die Comicfigur Blockbuster wurde von Roger Stern und Tom Lyle erstellt. 
Id94,1,ge,Airport,,"Alpena,_Michigan country United_States",Alpena Michigan ist ein Land in den Vereinigten Staaten. 
Id227,3,ge,Food,,Binignit course Dessert Dessert dishVariation Sandesh_(confectionery) Binignit ingredient Coconut_milk,"Ein schönes Süßwaren-Dessert ist Sandesh, und auch Binignit, das Kokosmilch enthält. "
Id135,2,ge,Airport,,Antwerp_International_Airport cityServed Antwerp Antwerp_International_Airport owner Flemish_Region,"Die flämische Region besitzt den internationalen Flughafen Antwerpen, der der Stadt Antwerpen dient. "
Id23,2,ge,Building,,Cleveland country United_States 200_Public_Square location Cleveland,"200 Public Square befindet sich in Cleveland, USA. "
Id73,3,ge,Airport,,Alcobendas isPartOf Community_of_Madrid Alcobendas leaderParty People's_Party_(Spain) Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas,"Der Flughafen Adolfo Suárez Madrid Barajas befindet sich in Alcobendas, das Teil der Gemeinschaft von Madrid ist. Die Führer-Partei in Alcobendas ist die Volkspartei (Spanien). "
Id87,3,ge,Building,,Adare_Manor architect Lewis_Nockalls_Cottingham Adare_Manor completionDate 1862 Adare_Manor owner J._P._McManus,"Lewis Nockalls Cottingham ist der Architekt von Adare Manor, der 1862 fertiggestellt wurde und im Besitz von JP McManus ist. "
Id249,2,ge,Food,,Indonesia capital Jakarta Bakso country Indonesia,Die Hauptstadt Indonesiens ist Jakarta und Bakso kommt von dort. 
Id80,4,ge,Building,,County_Limerick governmentType Limerick_City_and_County_Council Adare isPartOf Munster Adare_Manor location Adare Adare_Manor location County_Limerick,"Adare Manor is located in Adare, Munster, County Limerick, which is regiert by the Limerick City and County Council. "
Id35,6,ge,University,,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology established 2000 Acharya_Institute_of_Technology numberOfPostgraduateStudents 700 Acharya_Institute_of_Technology president ""B.M. Reddy""","Der Campus des Acharya Institute of Technology befindet sich in Soldevanahalli, Acharya Dr. Sardampfalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090, Indien. Es wurde im Jahr 2000 gegründet und hat 700 postgraduierte Studenten. Sein Präsident ist B.M. Reddy. "
Id95,1,ge,Building,,"Akita_Museum_of_Art location Akita,_Akita","Das Akita Museum für Kunst befindet sich in Akita, Akita. "
Id255,2,ge,Food,,Ayam_penyet country Java Java ethnicGroup Baduy,"Ayam Penyet ist ein Lebensmittel, das in Java gefunden wird, wo eine ethnische Gruppe Baduy ist. "
Id23,2,ge,Airport,,Alcobendas country Spain Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas,"Der Flughafen Adolfo Suárez Madrid Barajas befindet sich in Alcobendas, Spanien. "
Id7,3,ge,ComicsCharacter,,"Bolt_(comicsCharacter) alternativeName ""Larry Bolatinsky"" Bolt_(comicsCharacter) creator Ernie_Colón Bolt_(comicsCharacter) creator Dan_Mishkin","Bolt, eine Comicfigur AKA Larry Bolatinsky wurde von Dan Mishkin erstellt. "
Id12,5,ge,Monument,,"14th_New_Jersey_Volunteer_Infantry_Monument category Historic_districts_in_the_United_States 14th_New_Jersey_Volunteer_Infantry_Monument country ""United States"" 14th_New_Jersey_Volunteer_Infantry_Monument district Monocacy_National_Battlefield 14th_New_Jersey_Volunteer_Infantry_Monument established ""1907-07-11"" Monocacy_National_Battlefield nearestCity Frederick,_Maryland","Das 14. New Jersey Volunteer Infantry Monument wurde am 11. Juli 1907 gegründet und ist ein historischer Stadtteil, der im Monocacy National Battlefield gegründet wurde. Die nächste Stadt ist Frederick, Maryland. "
Id121,4,ge,Building,,Virginia country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary,"Alan B Miller Hall, im Besitz des Kollegiums von William und Mary, und mit der Mason School of Business als die aktuellen Mieter, befindet sich in Virginia, USA. "
Id190,2,ge,Food,,Batchoy country Philippines Batchoy ingredient Chicken,"Huhn ist eine Zutat in Batchoy, die von den Philippinen kommt. "
Id13,1,ge,Building,,Alan_B._Miller_Hall currentTenants Mason_School_of_Business,Die Mason School of Business sind die aktuellen Mieter von Alan B Miller Hall. 
Id72,1,ge,Building,,Addis_Ababa_City_Hall buildingStartDate 1961,Der Bau begann auf dem Rathaus von Addis Abeba im Jahr 1961. 
Id82,3,ge,Airport,,"Allama_Iqbal_International_Airport location Pakistan Allama_Iqbal_International_Airport runwayLength 2900.0 Allama_Iqbal_International_Airport runwayName ""18L/36R""","Der Allama Iqbal International Airport befindet sich in Pakistan und hat einen Fahrbahnnamen von ""18L / 36R"" und eine Länge von 2900.0. "
Id19,2,ge,University,,"Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology numberOfUndergraduateStudents 10000",Acharya Institute of Technology in Indien hat 10000 Studenten. 
Id29,1,ge,University,,"Acharya_Institute_of_Technology officialSchoolColour ""Blue, White and Orange""","Acharya Institue of Technology offizielle Schulfarben sind blau, weiß und orange. "
Id146,1,ge,Airport,,"Antwerp_International_Airport operatingOrganisation ""Flemish department of Mobility and Public Works""",Das flämische Ministerium für Mobilität und öffentliche Arbeiten betreibt den internationalen Flughafen Antwerpen. 
Id8,3,ge,Monument,,"14th_New_Jersey_Volunteer_Infantry_Monument category Historic_districts_in_the_United_States 14th_New_Jersey_Volunteer_Infantry_Monument district Monocacy_National_Battlefield 14th_New_Jersey_Volunteer_Infantry_Monument established ""1907-07-11""",Das 14. New Jersey Volunteer Infantry Monument wurde am 11. Juli 1907 gegründet und befindet sich im Monocacy National Battlefield. Als historisches Viertel in den Vereinigten Staaten. 
Id39,1,ge,SportsTeam,,A.E_Dimitra_Efxeinoupolis numberOfMembers 1500,A.E. Dimitra Efxeinoupolis hat 1500 Mitglieder. 
Id1,2,ge,Airport,,"Abilene_Regional_Airport cityServed Abilene,_Texas Abilene,_Texas isPartOf Texas","Abilene, ein Teil von Texas, wird vom Regionalflughafen Abilene bedient. "
Id23,2,ge,Monument,,Azerbaijan legislature National_Assembly_(Azerbaijan) Baku_Turkish_Martyrs'_Memorial location Azerbaijan,"Die Nationalversammlung (Aserbaidschan) ist die Quelle der Legislative in Aserbaidschan, wo sich das Baku Turkish Martyrs 'Memorial befindet. "
Id18,1,ge,Monument,,"Atatürk_Monument_(İzmir) inaugurationDate ""1932-07-27""",Das Atatürk-Denkmal wurde am 27. Juli 1932 eingeweiht. 
Id124,3,ge,Building,,Alan_B._Miller_Hall architecturalStyle Georgian_architecture Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary,"Alan B Miller Hall, der eine georgianische Architektur hat, befindet sich im Besitz des Kollegiums von William und Mary und befindet sich in Virginia. "
Id37,1,ge,ComicsCharacter,,Baymax firstAppearanceInFilm Big_Hero_6_(film),Der erste Auftritt in einem Film für die Figur Baymax war Big Hero 6. 
Id182,4,ge,Food,,Batagor country Indonesia Batagor dishVariation Siomay Batagor dishVariation Shumai Siomay ingredient Peanut_sauce,Batagor (aus Indonesien) Shumai und Siomay sind Variationen vom gleichen Gericht. Eine Zutat von Siomay ist Erdnusssoße. 
Id50,4,ge,Food,,Asam_pedas country Indonesia Sumatra ethnicGroup Batak Sumatra ethnicGroup Acehnese_people Asam_pedas region Sumatra,"ASAM pedas ist ein Gericht aus Sumatra, Indonesien. Die Batak und Acehnese sind beide Volksgruppen auf der Insel. "
Id100,1,ge,Building,,Alan_B._Miller_Hall architecturalStyle Georgian_architecture,Alan B Miller Hall wurde im georgianischen Architekturstil erbaut. 
Id58,4,ge,Food,,Asam_pedas country Malaysia Sumatra ethnicGroup Batak Sumatra ethnicGroup Malays_(ethnic_group) Asam_pedas region Sumatra,ASAM pedas ist ein Lebensmittel in Malaysia und Sumatra. Malaien und Bataks sind ethnische Gruppen von Sumatra. 
Id164,3,ge,Airport,,"Egg_Harbor_Township,_New_Jersey country United_States Egg_Harbor_Township,_New_Jersey isPartOf New_Jersey Atlantic_City_International_Airport location Egg_Harbor_Township,_New_Jersey","Atlantic City International Airport is located at Egg Harbor Township which is part of New Jersey, in the United States. "
Id183,1,ge,SportsTeam,,John_van_den_Brom club De_Graafschap,John van den Brom spielt für De Graafschap. 
Id59,1,ge,Building,,AC_Hotel_Bella_Sky_Copenhagen tenant Marriott_International,Der Mieter des AC Hotel Bella Sky Copenhagen ist das Marriott International Hotel. 
Id18,1,ge,Building,,11_Diagonal_Street owner Redefine_Properties_Limited,11 Diagonal Street befindet sich im Besitz der Neudefinition Properties Limited. 
Id43,1,ge,Airport,,Afonso_Pena_International_Airport location São_José_dos_Pinhais,Afonso Pena International Airport befindet sich in São José dos Pinhais. 
Id94,1,ge,Food,,Bakewell_tart ingredient Fruit_preserves,Obstkonserven sind eine Zutat in Bakewell tart. 
Id5,4,ge,University,,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology numberOfPostgraduateStudents 700","Acharya Institute of Technological in Bangalor, Indien hat 700 postgraduierte Studenten und befindet sich in Soldevanahalli, Acharya Dr. Sardampalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090. "
Id9,3,ge,Food,,Almond division Flowering_plant Almond family Rosaceae Ajoblanco ingredient Almond,"Mandel wird als blühende Pflanze eingestuft und stammt aus der Rosaceae-Familie. Es handelt sich um eine Zutat, die in Ajoblanco verwendet wird. "
Id41,1,ge,Building,,320_South_Boston_Building completionDate 1929,Der Bau von 320 South Boston Building wurde 1929 fertiggestellt. 
Id25,3,ge,University,,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India""","Das Acharya Institute of Technology in Bangalore, Indien ist mit der Visvesvaraya Technological University verbunden. "
Id138,2,ge,Building,,"Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan significantBuilding Chinatown,_San_Francisco",Julie Morgan ist der Architekt von Asilomar Conference Grounds und Chinatown in San Francisco. 
Id6,5,ge,SportsTeam,,Greece capital Athens Greece currency Euro Greece leader Alexis_Tsipras Greece leader Nikos_Voutsis A.E_Dimitra_Efxeinoupolis location Greece,"Der Verein A.E Dimitra Efxeinoupolis befindet sich in Griechenland, dessen Anführer Nikos Voutsis ist. Athen ist die Hauptstadt Griechenlands, dessen Währung der Euro ist. Ein weiterer Anführer dort ist Alexis Tsipras. "
Id132,2,ge,Airport,,Antwerp_International_Airport operatingOrganisation Flemish_Government Antwerp_International_Airport owner Flemish_Region,Der internationale Flughafen Antwerpen wird von der flämischen Regierung betrieben und wird von der flämischen Regierung betrieben. 
Id6,3,ge,Food,,Arrabbiata_sauce country Italy Arrabbiata_sauce ingredient Chili_pepper Arrabbiata_sauce region Rome,Arrabbiata Sauce stammt aus der Region Rom in Italien und eine der wichtigsten Zutaten ist Chili Pfeffer. 
Id35,4,ge,Building,,Cleveland country United_States Cleveland governingBody Cleveland_City_Council Cleveland isPartOf Ohio 200_Public_Square location Cleveland,"200 Public Square befindet sich in Cleveland, Ohio, einer Stadt in den USA, die von der Cleveland Stadtverwaltung regiert wird. "
Id213,3,ge,Food,,"Bhajji alternativeName ""Bhaji, bajji"" Bhajji country India Bhajji ingredient Vegetable","Bhajji, dessen alternative Namen Bhaji und Bajji sind, stammt aus dem Land Indien. Dazu gehört auch Gemüse. "
Id268,2,ge,Food,,Beef_kway_teow country Singapore Singapore language English_language,"Rindfleisch Kway Teow ist ein beliebtes Gericht in Singapur, wo sie Englisch sprechen. "
Id75,3,ge,Building,,"Marriott_International foundationPlace Washington,_D.C. AC_Hotel_Bella_Sky_Copenhagen location Copenhagen AC_Hotel_Bella_Sky_Copenhagen tenant Marriott_International","Die Marriot International, ursprünglich in Washington, D.C. gegründet, ist der Mieter des AC Hotel Bella Sky Kopenhagen. "
Id31,2,ge,Food,,Arem-arem country Indonesia Indonesia language Indonesian_language,"Arem-arem ist ein Lebensmittel, das in Indonesien gefunden wird, wo die gesprochene Sprache den Namen des Landes trägt. "
Id53,3,ge,Astronaut,,"William_Anders birthPlace British_Hong_Kong William_Anders dateOfRetirement ""1969-09-01"" British_Hong_Kong representative Chris_Patten","William Anders, der am 1. September 1969 in den Ruhestand ging, wurde im britischen Hongkong geboren, wo Chris Patten als Vertreter fungierte. "
