eid,size,dataset_type,category,shape_type,data_unit,sentence
Id51,4,it,Building,sibling,"250_Delaware_Avenue cost ""110 million (dollars)"" 250_Delaware_Avenue floorArea 30843.8 (square metres) 250_Delaware_Avenue floorCount 12 250_Delaware_Avenue location United_States","Il 250 Delaware Avenue, negli Stati Uniti, ha 12 piani per una superficie totale di 30843,8 metri quadrati ed è costato 110 milioni di dollari."
Id90,2,it,Food,sibling,Ayam_penyet ingredient Fried_chicken Ayam_penyet region Singapore,L'Ayam penyet è un piatto di Singapore che contiene pollo fritto.
Id47,3,it,SportsTeam,sibling,"A.D._Isidro_Metapán fullName ""Asociación Deportiva"" A.D._Isidro_Metapán ground Estadio_Jorge_Calero_Suárez A.D._Isidro_Metapán numberOfMembers 10000",L'A.D. (Asociacion Deportiva) Isidro Metapán gioca all'Estadio Jorge Calero Suarez e conta 10000 membri.
Id35,1,it,Building,,"250_Delaware_Avenue location Buffalo,_New_York","250 Delaware Avenue si trova a Buffalo, New York."
Id237,1,it,Airport,,Iraq currency Iraqi_dinar,La valuta dell'Iraq è il dinaro iracheno.
Id70,1,it,Airport,,"Al_Asad_Airbase runwayName ""08/26""",08/26 è il nome della pista della base aerea di Al Asad.
Id14,3,it,SportsTeam,mixed,Jens_Härtel club Berliner_AK_07 Jens_Härtel club SV_Babelsberg_03 1._FC_Magdeburg manager Jens_Härtel,Jens Härtel fa parte del club SV Babelsberg 03. In precedenza ha diretto l'1 FC Magdeburg e ha giocato per il Berliner AK 07.
Id21,1,it,Building,,200_Public_Square floorCount 45,Al 200 Public Square ci sono 45 piani.
Id53,1,it,SportsTeam,,A.F.C._Fylde manager Dave_Challinor,Dave Challinor è l'allenatore dell'AFC Fylde.
Id65,1,it,ComicsCharacter,,Dane_Whitman_Black_Knight_(comicsCharacter) creator Roy_Thomas,Dane Whitman Black Knight è un personaggio dei fumetti creato da Roy Thomas.
Id38,2,it,SportsTeam,chain,Michele_Marcolini club Vicenza_Calcio A.C._Lumezzane manager Michele_Marcolini,"Il dirigente dell'A.C. Lumezzane è Michele Marcolini, che gioca nel Vicenza Calcio."
Id178,2,it,Food,chain,Batagor dishVariation Siomay Siomay dishVariation Shumai,"Batagor, Shumai e Siomay sono varianti dello stesso piatto."
Id23,2,it,SportsTeam,sibling,A.C._Chievo_Verona ground Stadio_Marc'Antonio_Bentegodi A.C._Chievo_Verona numberOfMembers 39371,L'A.C Chievo Verona ha come sede lo Stadio Marcantonio Bentegodi e conta 39371 soci.
Id84,4,it,Building,sibling,Adare_Manor architect George_Richard_Pain Adare_Manor completionDate 1862 Adare_Manor location Adare Adare_Manor location County_Limerick,"L'Adare Manor si trova ad Adare, nella contea di Limerick, ed è stato completato nel 1862. Il suo architetto è George Richard Pain."
Id161,4,it,Food,mixed,Antioquia_Department country Colombia Lemon genus Citrus Bandeja_paisa ingredient Lemon Bandeja_paisa region Antioquia_Department,"Il Dipartimento di Antioquia, in Colombia, è la regione da cui proviene la Bandeja paisa. Include il limone (dal genere Citrus)."
Id17,3,it,Airport,mixed,"Abilene_Regional_Airport cityServed Abilene,_Texas Abilene,_Texas country United_States Abilene,_Texas isPartOf Jones_County,_Texas","L'aeroporto regionale di Abilene serve Abilene, Contea di Jones, Texas, Stati Uniti."
Id15,2,it,Food,sibling,"Bacon_sandwich alternativeName ""Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm, bacon muffin"" Bacon_sandwich ingredient Bread","Il panino al bacon, il cui uno dei due ingredienti è il pane, ha diversi nomi tra cui: Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm e bacon muffin."
Id24,6,it,University,sibling,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology numberOfPostgraduateStudents 700","L'Acharya Institute of Technology si trova nel campus di Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090 a Bangalore, India. Il suo direttore è il Dr. G. P. Prabhukumar e la sua affiliazione è la Visvesvaraya Technological University. L'Istituto conta 700 studenti post-laurea."
Id7,3,it,ComicsCharacter,mixed,"Aurakles alternativeName ""Aurakles"" Aurakles creator Dick_Dillin Dick_Dillin nationality United_States",Il personaggio dei fumetti Aurakles (nome alternativo Aurakles) è stato creato dallo statunitense Dick Dillin.
Id52,1,it,Astronaut,,"Glen_Ridge,_New_Jersey isPartOf Essex_County,_New_Jersey","Glen Ridge si trova nella contea di Essex, nel New Jersey."
Id36,2,it,Astronaut,sibling,"Elliot_See birthPlace Dallas Elliot_See status ""Deceased""","È morto Elliot See, nato a Dallas."
Id9,3,it,Food,mixed,Almond division Flowering_plant Almond family Rosaceae Ajoblanco ingredient Almond,"Ajoblanco ha tra i suoi ingredienti la mandorla, che fa parte della famiglia delle Rosacee e della divisione delle piante da fiore."
Id68,1,it,Astronaut,,"William_Anders timeInSpace ""8820.0""(minutes)","Il tempo trascorso da William Anders nello spazio è di 8820,0 minuti."
Id31,6,it,Monument,mixed,"Atatürk_Monument_(İzmir) designer Pietro_Canonica Atatürk_Monument_(İzmir) inaugurationDate ""1932-07-27"" Turkey leader Ahmet_Davutoğlu Turkey leaderTitle President_of_Turkey Atatürk_Monument_(İzmir) location Turkey Atatürk_Monument_(İzmir) material ""Bronze""","Il presidente Ahmet Davutoglu è il leader della Turchia, dove si trova il monumento ad Atatürk (Smirne) progettato da Pietro Canonica. Il monumento è in bronzo e fu inaugurato il 27 luglio 1932."
Id33,2,it,Astronaut,sibling,"Elliot_See deathDate ""1966-02-28"" Elliot_See deathPlace St._Louis",Elliot See morì a St. Louis il 28 febbraio 1966.
Id28,3,it,ComicsCharacter,sibling,"Bananaman broadcastedBy ""STV"" Bananaman firstAired ""1983-10-03"" Bananaman starring Jill_Shilling","Jill Shilling ha recitato in Bananaman, trasmesso da STV e andato in onda per la prima volta il 3 ottobre 1983."
Id232,2,it,Food,sibling,Bionico country Mexico Bionico ingredient Granola,"La granola è un ingrediente del Bionico, un alimento diffuso in Messico."
Id40,1,it,Astronaut,,"Buzz_Aldrin timeInSpace ""52.0""(minutes)",Buzz Aldrin è rimasto nello spazio per 52 minuti.
Id11,1,it,Food,,Almond order Rosids,Le mandorle appartengono all'ordine dei rosidi.
Id133,3,it,Food,mixed,Baked_Alaska country France Baked_Alaska course Dessert Dessert dishVariation Cookie,"I biscotti e l'omelette norvegese sono entrambi dessert, ma quest'ultimo piatto è originario della Francia."
Id146,1,it,Airport,,"Antwerp_International_Airport operatingOrganisation ""Flemish department of Mobility and Public Works""",L'organizzazione operativa dell'aeroporto internazionale di Anversa è il Dipartimento fiammingo della mobilità e dei lavori pubblici.
Id54,1,it,Astronaut,,St._Louis isPartOf Kingdom_of_France,San Luigi faceva parte del regno di Francia.
Id2,2,it,Building,sibling,103_Colmore_Row architect John_Madin 103_Colmore_Row location Colmore_Row,"John Madin è l'architetto dell'edificio 103 Colmore Row, situato a Colmore Row."
Id111,2,it,Building,sibling,Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall currentTenants Mason_School_of_Business,"Robert A. M. Stern è l'architetto della Alan B. Miller Hall, di cui la Mason School of Business è l'attuale inquilino."
Id8,2,it,ComicsCharacter,sibling,Blockbuster_(comicsCharacter) creator Roger_Stern Blockbuster_(comicsCharacter) creator Tom_Lyle,Il personaggio dei fumetti Blockbuster è stato creato da Roger Stern e Tom Lyle.
Id94,1,it,Airport,,"Alpena,_Michigan country United_States",Alpena Michigan è un paese degli Stati Uniti.
Id226,3,it,Food,mixed,Binignit course Dessert Dessert dishVariation Sandesh_(confectionery) Binignit ingredient Coconut_milk,"Un bel dessert di pasticceria è il Sandesh, e anche il Binignit che contiene latte di cocco."
Id135,2,it,Airport,sibling,Antwerp_International_Airport cityServed Antwerp Antwerp_International_Airport owner Flemish_Region,"La Regione Fiamminga è proprietaria dell'Aeroporto Internazionale di Anversa, che serve la città di Anversa."
Id23,2,it,Building,chain,Cleveland country United_States 200_Public_Square location Cleveland,"200 Public Square si trova a Cleveland, negli Stati Uniti."
Id73,3,it,Airport,mixed,Alcobendas isPartOf Community_of_Madrid Alcobendas leaderParty People's_Party_(Spain) Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas,"L'aeroporto Adolfo Suárez Madrid Barajas si trova ad Alcobendas, che fa parte della comunità di Madrid. Il partito leader di Alcobendas è il Partito Popolare (Spagna)."
Id87,3,it,Building,sibling,Adare_Manor architect Lewis_Nockalls_Cottingham Adare_Manor completionDate 1862 Adare_Manor owner J._P._McManus,"Lewis Nockalls Cottingham è l'architetto di Adare Manor, completato nel 1862 e di proprietà di JP McManus."
Id248,2,it,Food,chain,Indonesia capital Jakarta Bakso country Indonesia,La capitale dell'Indonesia è Giacarta e il Bakso proviene da lì.
Id80,4,it,Building,mixed,County_Limerick governmentType Limerick_City_and_County_Council Adare isPartOf Munster Adare_Manor location Adare Adare_Manor location County_Limerick,"Adare Manor si trova ad Adare, Munster, nella contea di Limerick, governata dal Limerick City and County Council."
Id35,6,it,University,sibling,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology established 2000 Acharya_Institute_of_Technology numberOfPostgraduateStudents 700 Acharya_Institute_of_Technology president ""B.M. Reddy""","Il campus dell'Acharya Institute of Technology si trova a Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090, India. È stata fondata nel 2000 e conta 700 studenti post-laurea. Il suo presidente è B.M. Reddy."
Id95,1,it,Building,,"Akita_Museum_of_Art location Akita,_Akita","Il Museo d'Arte di Akita si trova ad Akita, Akita."
Id254,2,it,Food,chain,Ayam_penyet country Java Java ethnicGroup Baduy,"L'Ayam Penyet è un alimento che si trova a Giava, dove un gruppo etnico è il Baduy."
Id23,2,it,Airport,chain,Alcobendas country Spain Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas,"L'aeroporto Adolfo Suárez Madrid Barajas si trova ad Alcobendas, in Spagna."
Id7,3,it,ComicsCharacter,sibling,"Bolt_(comicsCharacter) alternativeName ""Larry Bolatinsky"" Bolt_(comicsCharacter) creator Ernie_Colón Bolt_(comicsCharacter) creator Dan_Mishkin","Bolt, personaggio dei fumetti alias Larry Bolatinsky, è stato creato da Dan Mishkin ed Ernie Colón."
Id12,5,it,Monument,mixed,"14th_New_Jersey_Volunteer_Infantry_Monument category Historic_districts_in_the_United_States 14th_New_Jersey_Volunteer_Infantry_Monument country ""United States"" 14th_New_Jersey_Volunteer_Infantry_Monument district Monocacy_National_Battlefield 14th_New_Jersey_Volunteer_Infantry_Monument established ""1907-07-11"" Monocacy_National_Battlefield nearestCity Frederick,_Maryland","Il 14th New Jersey Volunteer Infantry Monument è stato istituito l'11 luglio 1907 ed è un distretto storico fondato nel Monocacy National Battlefield (USA). La città più vicina è Frederick, Maryland."
Id121,4,it,Building,mixed,Virginia country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary,"L'Alan B Miller Hall, di proprietà del College of William and Mary, con la Mason School of Business come attuale inquilino, si trova in Virginia, Stati Uniti."
Id189,2,it,Food,sibling,Batchoy country Philippines Batchoy ingredient Chicken,"Il pollo è un ingrediente del Batchoy, originario delle Filippine."
Id13,1,it,Building,,Alan_B._Miller_Hall currentTenants Mason_School_of_Business,La Mason School of Business è l'attuale inquilino dell'Alan B Miller Hall.
Id72,1,it,Building,,Addis_Ababa_City_Hall buildingStartDate 1961,La costruzione del municipio di Addis Abeba è iniziata nel 1961.
Id82,3,it,Airport,sibling,"Allama_Iqbal_International_Airport location Pakistan Allama_Iqbal_International_Airport runwayLength 2900.0 Allama_Iqbal_International_Airport runwayName ""18L/36R""","L'aeroporto internazionale Allama Iqbal si trova in Pakistan e ha una pista di nome ""18L/36R"" e una lunghezza di 2900.0."
Id19,2,it,University,sibling,"Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology numberOfUndergraduateStudents 10000",L'Acharya Institute of Technology in India ha 10000 studenti universitari.
Id29,1,it,University,,"Acharya_Institute_of_Technology officialSchoolColour ""Blue, White and Orange""","I colori ufficiali dell'Acharya Institute of Technology sono blu, bianco e arancione."
Id146,1,it,Airport,,"Antwerp_International_Airport operatingOrganisation ""Flemish department of Mobility and Public Works""",Il Dipartimento fiammingo della mobilità e dei lavori pubblici gestisce l'aeroporto internazionale di Anversa.
Id8,3,it,Monument,sibling,"14th_New_Jersey_Volunteer_Infantry_Monument category Historic_districts_in_the_United_States 14th_New_Jersey_Volunteer_Infantry_Monument district Monocacy_National_Battlefield 14th_New_Jersey_Volunteer_Infantry_Monument established ""1907-07-11""","Il 14th New Jersey Volunteer Infantry Monument è stato istituito l'11 luglio 1907 e si trova nel Monocacy National Battlefield, un distretto storico degli Stati Uniti."
Id39,1,it,SportsTeam,,A.E_Dimitra_Efxeinoupolis numberOfMembers 1500,A.E. Dimitra Efxeinoupolis conta 1500 membri.
Id1,2,it,Airport,chain,"Abilene_Regional_Airport cityServed Abilene,_Texas Abilene,_Texas isPartOf Texas","Abilene, parte del Texas, è servita dall'aeroporto regionale di Abilene."
Id23,2,it,Monument,chain,Azerbaijan legislature National_Assembly_(Azerbaijan) Baku_Turkish_Martyrs'_Memorial location Azerbaijan,"L'Assemblea nazionale (Azerbaigian) è la fonte legislativa dell'Azerbaigian, dove si trova il Memoriale dei martiri turchi di Baku."
Id18,1,it,Monument,,"Atatürk_Monument_(İzmir) inaugurationDate ""1932-07-27""",Il monumento ad Atatürk fu inaugurato il 27 luglio 1932.
Id124,3,it,Building,sibling,Alan_B._Miller_Hall architecturalStyle Georgian_architecture Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary,"L'Alan B Miller Hall, che presenta un'architettura in stile georgiano, è di proprietà del College of William and Mary e si trova in Virginia."
Id37,1,it,ComicsCharacter,,Baymax firstAppearanceInFilm Big_Hero_6_(film),La prima apparizione del personaggio Baymax in un film è stata Big Hero 6.
Id182,4,it,Food,mixed,Batagor country Indonesia Batagor dishVariation Siomay Batagor dishVariation Shumai Siomay ingredient Peanut_sauce,Batagor (dall'Indonesia) Shumai e Siomay sono varianti dello stesso piatto. Un ingrediente del Siomay è la salsa di arachidi.
Id50,4,it,Food,mixed,Asam_pedas country Indonesia Sumatra ethnicGroup Batak Sumatra ethnicGroup Acehnese_people Asam_pedas region Sumatra,"L'asam pedas è un piatto di Sumatra, in Indonesia. I Batak e gli Acehnesi sono entrambi gruppi etnici dell'isola."
Id100,1,it,Building,,Alan_B._Miller_Hall architecturalStyle Georgian_architecture,La Alan B Miller Hall è stata costruita in stile architettonico georgiano.
Id58,4,it,Food,mixed,Asam_pedas country Malaysia Sumatra ethnicGroup Batak Sumatra ethnicGroup Malays_(ethnic_group) Asam_pedas region Sumatra,L'asam pedas è un alimento diffuso in Malesia e a Sumatra. I Malesi e i Batak sono gruppi etnici di Sumatra.
Id164,3,it,Airport,mixed,"Egg_Harbor_Township,_New_Jersey country United_States Egg_Harbor_Township,_New_Jersey isPartOf New_Jersey Atlantic_City_International_Airport location Egg_Harbor_Township,_New_Jersey","L'aeroporto internazionale di Atlantic City si trova nella cittadina di Egg Harbor, che fa parte del New Jersey, negli Stati Uniti."
Id183,1,it,SportsTeam,,John_van_den_Brom club De_Graafschap,John van den Brom gioca nel De Graafschap.
Id59,1,it,Building,,AC_Hotel_Bella_Sky_Copenhagen tenant Marriott_International,L'affittuario dell'AC Hotel Bella Sky Copenhagen è l'hotel Marriott International.
Id18,1,it,Building,,11_Diagonal_Street owner Redefine_Properties_Limited,11 Diagonal Street è di proprietà di Redefine Properties Limited.
Id43,1,it,Airport,,Afonso_Pena_International_Airport location São_José_dos_Pinhais,L'aeroporto internazionale Afonso Pena si trova a São José dos Pinhais.
Id94,1,it,Food,,Bakewell_tart ingredient Fruit_preserves,Le confetture di frutta sono un ingrediente della torta Bakewell.
Id5,4,it,University,sibling,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology numberOfPostgraduateStudents 700","L'Acharya Institute of Technology di Bangalor, India, ha 700 studenti post-laurea e si trova a Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090."
Id9,3,it,Food,mixed,Almond division Flowering_plant Almond family Rosaceae Ajoblanco ingredient Almond,La mandorla è classificata come pianta da fiore e appartiene alla famiglia delle rosacee. È un ingrediente utilizzato nell'Ajoblanco.
Id41,1,it,Building,,320_South_Boston_Building completionDate 1929,La costruzione del 320 South Boston Building fu completata nel 1929.
Id25,3,it,University,sibling,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India""","L'Acharya Institute of Technology di Bangalore, India, è affiliato alla Visvesvaraya Technological University."
Id138,2,it,Building,chain,"Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan significantBuilding Chinatown,_San_Francisco",Julia Morgan è l'architetto dell'Asilomar Conference Grounds e di Chinatown a San Francisco.
Id6,5,it,SportsTeam,mixed,Greece capital Athens Greece currency Euro Greece leader Alexis_Tsipras Greece leader Nikos_Voutsis A.E_Dimitra_Efxeinoupolis location Greece,"La squadra A.E Dimitra Efxeinoupolis si trova in Grecia e il suo leader è Nikos Voutsis. Atene è la capitale della Grecia, la cui moneta è l'euro. Un altro leader è Alexis Tsipras."
Id132,2,it,Airport,sibling,Antwerp_International_Airport operatingOrganisation Flemish_Government Antwerp_International_Airport owner Flemish_Region,L'aeroporto internazionale di Anversa è gestito dal governo fiammingo ed è di proprietà della regione fiamminga.
Id6,3,it,Food,sibling,Arrabbiata_sauce country Italy Arrabbiata_sauce ingredient Chili_pepper Arrabbiata_sauce region Rome,La salsa Arrabbiata è originaria della regione italiana di Roma e uno degli ingredienti principali è il peperoncino.
Id35,4,it,Building,mixed,Cleveland country United_States Cleveland governingBody Cleveland_City_Council Cleveland isPartOf Ohio 200_Public_Square location Cleveland,"200 Public Square si trova a Cleveland, Ohio, una città degli Stati Uniti governata dal Comune di Cleveland."
Id212,3,it,Food,sibling,"Bhajji alternativeName ""Bhaji, bajji"" Bhajji country India Bhajji ingredient Vegetable","Il bhajji, i cui nomi alternativi sono Bhaji e Bajji, proviene dall'India. Include verdure."
Id267,2,it,Food,chain,Beef_kway_teow country Singapore Singapore language English_language,"Il Beef kway teow è un piatto popolare a Singapore, dove si parla inglese."
Id75,3,it,Building,mixed,"Marriott_International foundationPlace Washington,_D.C. AC_Hotel_Bella_Sky_Copenhagen location Copenhagen AC_Hotel_Bella_Sky_Copenhagen tenant Marriott_International","Marriott International, fondata originariamente a Washington, D.C., è l'affittuario dell'AC Hotel Bella Sky Copenhagen."
Id31,2,it,Food,chain,Arem-arem country Indonesia Indonesia language Indonesian_language,"L'Arem-arem è un alimento diffuso in Indonesia, dove la lingua parlata porta il nome del Paese."
Id53,3,it,Astronaut,mixed,"William_Anders birthPlace British_Hong_Kong William_Anders dateOfRetirement ""1969-09-01"" British_Hong_Kong representative Chris_Patten","William Anders, che si è ritirato il 1° settembre 1969, è nato nella Hong Kong britannica, dove Chris Patten è stato rappresentante."
Id22,1,it,Monument,,"Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku""",Il Memoriale dei martiri turchi di Baku è dedicato ai soldati dell'esercito ottomano uccisi nella battaglia di Baku.
Id130,3,it,SportsTeam,sibling,"Agremiação_Sportiva_Arapiraquense nickname ""''Alvinegro"" Agremiação_Sportiva_Arapiraquense numberOfMembers 17000 Agremiação_Sportiva_Arapiraquense season 2015",Alvinegro è il soprannome dell'Agremiação Sportiva Arapiraquense. Hanno 17000 membri e giocano nel 2015.
