eid,size,dataset_type,category,shape_type,data_unit,sentence
Id33,3,en,SportsTeam,sibling,"A.C._Lumezzane league ""Lega Pro/A"" A.C._Lumezzane numberOfMembers 4150 A.C._Lumezzane season 2014–15_Lega_Pro","A.C. Lumezzane, with 4150 members, is in the Lega Pro/A league and played during the 2014-15 season."
Id4,5,en,Monument,sibling,"Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku"" Baku_Turkish_Martyrs'_Memorial designer ""Hüseyin Bütüner and Hilmi Güner"" Baku_Turkish_Martyrs'_Memorial location Azerbaijan Baku_Turkish_Martyrs'_Memorial material ""Red granite and white marble"" Baku_Turkish_Martyrs'_Memorial nativeName ""Türk Şehitleri Anıtı""",Huseyin Butuner and Hilmi Guner designed the red granite and white marble Baku Turkish Martyrs memorial in Azerbaijan. It is also known as Turk Sehitleri Aniti and is dedicated to the soldiers of the Ottoman army killed in the Battle of Baku.
Id210,1,en,Airport,,Denmark language Danish_language,The language of Denmark is Danish.
Id18,1,en,SportsTeam,,A.C._Chievo_Verona league Serie_A,AC Chievo Verona play in the Serie A league.
Id61,6,en,University,mixed,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Visvesvaraya_Technological_University city Belgaum Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology state Karnataka","The Acharya Institute of Technology's campus is in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore, Karnataka, 560090, India. Its director is Dr G.P. Prabhukumar. It is affiliated with the Visvesvaraya Technological University in Belgaum."
Id10,2,en,Astronaut,sibling,Alan_Shepard birthPlace New_Hampshire Alan_Shepard nationality United_States,Alan Shepard was born in the American state of New Hampshire.
Id154,3,en,Building,mixed,Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan birthPlace San_Francisco Julia_Morgan significantBuilding Asilomar_State_Beach,Julia Morgan (born San Francisco) designed Asilomar Conference Grounds and also Asilomar State Beach.
Id51,4,en,Building,sibling,"250_Delaware_Avenue cost ""110 million (dollars)"" 250_Delaware_Avenue floorArea 30843.8 (square metres) 250_Delaware_Avenue floorCount 12 250_Delaware_Avenue location United_States",250 Delaware Avenue in the United States has 12 floors with a total area of 30843.8 square metres and cost 110 million dollars to build.
Id90,2,en,Food,sibling,Ayam_penyet ingredient Fried_chicken Ayam_penyet region Singapore,Ayam penyet is a dish from Singapore and it has fried chicken in it.
Id47,3,en,SportsTeam,sibling,"A.D._Isidro_Metapán fullName ""Asociación Deportiva"" A.D._Isidro_Metapán ground Estadio_Jorge_Calero_Suárez A.D._Isidro_Metapán numberOfMembers 10000",A.D. (Asociacion Deportiva) Isidro Metapan play at the Estadio Jorge Calero Suarez and has 10000 members.
Id35,1,en,Building,,"250_Delaware_Avenue location Buffalo,_New_York","250 Delaware Avenue is in Buffalo, New York."
Id237,1,en,Airport,,Iraq currency Iraqi_dinar,The currency of Iraq is the Iraqi dinar.
Id70,1,en,Airport,,"Al_Asad_Airbase runwayName ""08/26""",08/26 is the runway name of the Al Asad Airbase.
Id14,3,en,SportsTeam,mixed,Jens_Härtel club Berliner_AK_07 Jens_Härtel club SV_Babelsberg_03 1._FC_Magdeburg manager Jens_Härtel,Jens Härtel is part of the SV Babelsberg 03 club. He previously managed 1 FC Magdeburg and played for Berliner AK 07.
Id21,1,en,Building,,200_Public_Square floorCount 45,There are 45 floors at 200 Public Square.
Id53,1,en,SportsTeam,,A.F.C._Fylde manager Dave_Challinor,Dave Challinor is the manager of AFC Fylde.
Id65,1,en,ComicsCharacter,,Dane_Whitman_Black_Knight_(comicsCharacter) creator Roy_Thomas,Dane Whitman Black Knight is a comic character created by Roy Thomas.
Id38,2,en,SportsTeam,chain,Michele_Marcolini club Vicenza_Calcio A.C._Lumezzane manager Michele_Marcolini,The manager of A.C. Lumezzane is Michele Marcolini who plays for Vicenza Calcio.
Id178,2,en,Food,chain,Batagor dishVariation Siomay Siomay dishVariation Shumai,"Batagor, Shumai and Siomay are variations of the same dish."
Id23,2,en,SportsTeam,sibling,A.C._Chievo_Verona ground Stadio_Marc'Antonio_Bentegodi A.C._Chievo_Verona numberOfMembers 39371,AC Chievo Verona's home ground is Stadio Marc'Antonio Bentegodi and they have 39371 members.
Id84,4,en,Building,sibling,Adare_Manor architect George_Richard_Pain Adare_Manor completionDate 1862 Adare_Manor location Adare Adare_Manor location County_Limerick,"Adare Manor is located in Adare, County Limerick and it was completed in 1862. Its architect is George Richard Pain."
Id161,4,en,Food,mixed,Antioquia_Department country Colombia Lemon genus Citrus Bandeja_paisa ingredient Lemon Bandeja_paisa region Antioquia_Department,"Antioquia Department, Colombia, is the regions where Bandeja paisa comes from. It includes lemon (from the Citrus genus)."
Id17,3,en,Airport,mixed,"Abilene_Regional_Airport cityServed Abilene,_Texas Abilene,_Texas country United_States Abilene,_Texas isPartOf Jones_County,_Texas","Abilene regional airport serves Abilene, Jones County, Texas, United States."
Id15,2,en,Food,sibling,"Bacon_sandwich alternativeName ""Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm, bacon muffin"" Bacon_sandwich ingredient Bread","The bacon sandwich, which one of two ingredients is bread, has different names including: Bacon butty, bacon sarnie, rasher sandwich, bacon sanger, piece 'n bacon, bacon cob, bacon barm and bacon muffin."
Id24,6,en,University,sibling,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology numberOfPostgraduateStudents 700","Acharya Institute of Technology is located at campus In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090 in Bangalore, India. Its director is Dr. G. P. Prabhukumar and its affiliation is Visvesvaraya Technological University. The Institute has 700 postgraduate students."
Id7,3,en,ComicsCharacter,mixed,"Aurakles alternativeName ""Aurakles"" Aurakles creator Dick_Dillin Dick_Dillin nationality United_States",The comic book character Aurakles (alternative name Aurakles) was created by Dick Dillin from the United States.
Id52,1,en,Astronaut,,"Glen_Ridge,_New_Jersey isPartOf Essex_County,_New_Jersey",Glen Ridge is in the Essex County in New Jersey.
Id36,2,en,Astronaut,sibling,"Elliot_See birthPlace Dallas Elliot_See status ""Deceased""","Elliot See, who was born in Dallas, has died."
Id9,3,en,Food,mixed,Almond division Flowering_plant Almond family Rosaceae Ajoblanco ingredient Almond,"Ajoblanco has almond as one of its ingredients, which is part of the Rosaceae family and in the division of flowering plants."
Id68,1,en,Astronaut,,"William_Anders timeInSpace ""8820.0""(minutes)",William Anders' time in space is 8820.0 minutes.
Id31,6,en,Monument,mixed,"Atatürk_Monument_(İzmir) designer Pietro_Canonica Atatürk_Monument_(İzmir) inaugurationDate ""1932-07-27"" Turkey leader Ahmet_Davutoğlu Turkey leaderTitle President_of_Turkey Atatürk_Monument_(İzmir) location Turkey Atatürk_Monument_(İzmir) material ""Bronze""",President Ahmet Davutoglu is the leader of Turkey which is the location of the Ataturk monument (Izmir) designed by Pietro Canonica. The monument is made of bronze and was inaugurated on 27 July 1932.
Id33,2,en,Astronaut,sibling,"Elliot_See deathDate ""1966-02-28"" Elliot_See deathPlace St._Louis","Elliot See died in St. Louis on February 28th, 1966."
Id28,3,en,ComicsCharacter,sibling,"Bananaman broadcastedBy ""STV"" Bananaman firstAired ""1983-10-03"" Bananaman starring Jill_Shilling",Jill Shilling starred in Bananaman which is broadcast by STV and first aired on 3 October 1983.
Id232,2,en,Food,sibling,Bionico country Mexico Bionico ingredient Granola,Granola is an ingredient of Bionico which is a food found in Mexico.
Id40,1,en,Astronaut,,"Buzz_Aldrin timeInSpace ""52.0""(minutes)",Buzz Aldrin was in space for 52 minutes.
Id11,1,en,Food,,Almond order Rosids,Almonds are from the order Rosids.
Id133,3,en,Food,mixed,Baked_Alaska country France Baked_Alaska course Dessert Dessert dishVariation Cookie,"Cookies and Baked Alaska are both desserts, but the latter dish comes from France."
Id146,1,en,Airport,,"Antwerp_International_Airport operatingOrganisation ""Flemish department of Mobility and Public Works""",Antwerp International Airport operation organization is Flemish department of mobility and public works.
Id54,1,en,Astronaut,,St._Louis isPartOf Kingdom_of_France,St. Louis was a part of the kingdom of France.
Id2,2,en,Building,sibling,103_Colmore_Row architect John_Madin 103_Colmore_Row location Colmore_Row,"John Madin is the architect of 103 Colmore Row, located in Colmore Row."
Id111,2,en,Building,sibling,Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall currentTenants Mason_School_of_Business,Robert A. M. Stern is the architect of Alan B. Miller Hall of which The Mason School of Business is the current tenant.
Id8,2,en,ComicsCharacter,sibling,Blockbuster_(comicsCharacter) creator Roger_Stern Blockbuster_(comicsCharacter) creator Tom_Lyle,The comic character Blockbuster was created by Roger Stern and Tom Lyle.
Id94,1,en,Airport,,"Alpena,_Michigan country United_States",Alpena Michigan is a country in United States.
Id226,3,en,Food,mixed,Binignit course Dessert Dessert dishVariation Sandesh_(confectionery) Binignit ingredient Coconut_milk,"A nice confectionery dessert is Sandesh, and also Binignit which contains coconut milk."
Id135,2,en,Airport,sibling,Antwerp_International_Airport cityServed Antwerp Antwerp_International_Airport owner Flemish_Region,"Flemish Region owns Antwerp International Airport, which serves the city of Antwerp."
Id23,2,en,Building,chain,Cleveland country United_States 200_Public_Square location Cleveland,"200 Public Square is located in Cleveland, United States."
Id73,3,en,Airport,mixed,Alcobendas isPartOf Community_of_Madrid Alcobendas leaderParty People's_Party_(Spain) Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas,Adolfo Suárez Madrid Barajas Airport is found in Alcobendas which is part of the community of Madrid. The leader party at Alcobendas is the People's Party (Spain).
Id87,3,en,Building,sibling,Adare_Manor architect Lewis_Nockalls_Cottingham Adare_Manor completionDate 1862 Adare_Manor owner J._P._McManus,"Lewis Nockalls Cottingham is the architect of Adare Manor, which was completed in 1862, and is owned by JP McManus."
Id248,2,en,Food,chain,Indonesia capital Jakarta Bakso country Indonesia,The capital of Indonesia is Jakarta and Bakso comes from there.
Id80,4,en,Building,mixed,County_Limerick governmentType Limerick_City_and_County_Council Adare isPartOf Munster Adare_Manor location Adare Adare_Manor location County_Limerick,"Adare Manor is located in Adare, Munster, County Limerick, which is governed by the Limerick City and County Council."
Id35,6,en,University,sibling,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology established 2000 Acharya_Institute_of_Technology numberOfPostgraduateStudents 700 Acharya_Institute_of_Technology president ""B.M. Reddy""","The Acharya Institute of Technology's campus is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090, India. It was established in 2000 and it has 700 postgraduate students. Its president is B.M. Reddy."
Id95,1,en,Building,,"Akita_Museum_of_Art location Akita,_Akita","The Akita Museum of Art is located in Akita, Akita."
Id254,2,en,Food,chain,Ayam_penyet country Java Java ethnicGroup Baduy,Ayam Penyet is a food found in Java where an ethnic group is Baduy.
Id23,2,en,Airport,chain,Alcobendas country Spain Adolfo_Suárez_Madrid–Barajas_Airport location Alcobendas,"Adolfo Suárez Madrid Barajas Airport is found in Alcobendas, Spain."
Id7,3,en,ComicsCharacter,sibling,"Bolt_(comicsCharacter) alternativeName ""Larry Bolatinsky"" Bolt_(comicsCharacter) creator Ernie_Colón Bolt_(comicsCharacter) creator Dan_Mishkin","Bolt, a comic character AKA Larry Bolatinsky was created by Dan Mishkin and Ernie Colón."
Id12,5,en,Monument,mixed,"14th_New_Jersey_Volunteer_Infantry_Monument category Historic_districts_in_the_United_States 14th_New_Jersey_Volunteer_Infantry_Monument country ""United States"" 14th_New_Jersey_Volunteer_Infantry_Monument district Monocacy_National_Battlefield 14th_New_Jersey_Volunteer_Infantry_Monument established ""1907-07-11"" Monocacy_National_Battlefield nearestCity Frederick,_Maryland","The 14th New Jersey Volunteer Infantry Monument was established July 11th, 1907 and is a historic district founded in the Monocacy National Battlefield (USA). The nearest city is Frederick, Maryland."
Id121,4,en,Building,mixed,Virginia country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary,"Alan B Miller Hall, owned by the College of William and Mary, and with the Mason School of Business as the current tenants, is located in Virginia, United States."
Id189,2,en,Food,sibling,Batchoy country Philippines Batchoy ingredient Chicken,Chicken is an ingredient in Batchoy which comes from the Philippines.
Id13,1,en,Building,,Alan_B._Miller_Hall currentTenants Mason_School_of_Business,The Mason School of Business are the current tenants of Alan B Miller Hall.
Id72,1,en,Building,,Addis_Ababa_City_Hall buildingStartDate 1961,Building started on the Addis Ababa City Hall in 1961.
Id82,3,en,Airport,sibling,"Allama_Iqbal_International_Airport location Pakistan Allama_Iqbal_International_Airport runwayLength 2900.0 Allama_Iqbal_International_Airport runwayName ""18L/36R""","The Allama Iqbal International Airport is located in Pakistan and has a runway name of ""18L/36R"" and a length of 2900.0."
Id19,2,en,University,sibling,"Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology numberOfUndergraduateStudents 10000",Acharya Institute of Technology in India has 10000 Undergraduate students.
Id29,1,en,University,,"Acharya_Institute_of_Technology officialSchoolColour ""Blue, White and Orange""","Acharya Institute of Technology official school colours are blue, white and orange."
Id146,1,en,Airport,,"Antwerp_International_Airport operatingOrganisation ""Flemish department of Mobility and Public Works""",Flemish Department of Mobility and Public Works operates the Antwerp International Airport.
Id8,3,en,Monument,sibling,"14th_New_Jersey_Volunteer_Infantry_Monument category Historic_districts_in_the_United_States 14th_New_Jersey_Volunteer_Infantry_Monument district Monocacy_National_Battlefield 14th_New_Jersey_Volunteer_Infantry_Monument established ""1907-07-11""",The 14th New Jersey Volunteer Infantry Monument was established on 11 July 1907 and is located in the Monocacy National Battlefield. being a historic district in the United States.
Id39,1,en,SportsTeam,,A.E_Dimitra_Efxeinoupolis numberOfMembers 1500,A.E. Dimitra Efxeinoupolis has 1500 members.
Id1,2,en,Airport,chain,"Abilene_Regional_Airport cityServed Abilene,_Texas Abilene,_Texas isPartOf Texas","Abilene, part of Texas, is served by the Abilene regional airport."
Id23,2,en,Monument,chain,Azerbaijan legislature National_Assembly_(Azerbaijan) Baku_Turkish_Martyrs'_Memorial location Azerbaijan,"The National Assembly (Azerbaijan) is the source of legislature in Azerbaijan, where the Baku Turkish Martyrs' Memorial is located."
Id18,1,en,Monument,,"Atatürk_Monument_(İzmir) inaugurationDate ""1932-07-27""","The Ataturk Monument was inaugurated on 27th July, 1932."
Id124,3,en,Building,sibling,Alan_B._Miller_Hall architecturalStyle Georgian_architecture Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary,Alan B Miller Hall which has a Georgian style of architecture is owned by the College of William and Mary and is located in Virginia.
Id37,1,en,ComicsCharacter,,Baymax firstAppearanceInFilm Big_Hero_6_(film),The first appearance in a film for the character Baymax was Big Hero 6.
Id182,4,en,Food,mixed,Batagor country Indonesia Batagor dishVariation Siomay Batagor dishVariation Shumai Siomay ingredient Peanut_sauce,Batagor (from Indonesia) Shumai and Siomay are variations of the same dish. An ingredient of Siomay is peanut sauce.
Id50,4,en,Food,mixed,Asam_pedas country Indonesia Sumatra ethnicGroup Batak Sumatra ethnicGroup Acehnese_people Asam_pedas region Sumatra,"Asam pedas is a dish from Sumatra, Indonesia. The Batak and Acehnese people are both ethnic groups on the island."
Id100,1,en,Building,,Alan_B._Miller_Hall architecturalStyle Georgian_architecture,Alan B Miller Hall was built in the Georgian architecture style.
Id58,4,en,Food,mixed,Asam_pedas country Malaysia Sumatra ethnicGroup Batak Sumatra ethnicGroup Malays_(ethnic_group) Asam_pedas region Sumatra,Asam pedas is a food found in Malaysia and Sumatra. Malays and Bataks are ethnic groups of Sumatra.
Id164,3,en,Airport,mixed,"Egg_Harbor_Township,_New_Jersey country United_States Egg_Harbor_Township,_New_Jersey isPartOf New_Jersey Atlantic_City_International_Airport location Egg_Harbor_Township,_New_Jersey","Atlantic City International Airport is located at Egg Harbor Township which is part of New Jersey, in the United States."
Id183,1,en,SportsTeam,,John_van_den_Brom club De_Graafschap,John van den Brom plays for De Graafschap.
Id59,1,en,Building,,AC_Hotel_Bella_Sky_Copenhagen tenant Marriott_International,The tenant of the AC Hotel Bella Sky Copenhagen is the Marriott International Hotel.
Id18,1,en,Building,,11_Diagonal_Street owner Redefine_Properties_Limited,11 Diagonal Street is owned by Redefine Properties Limited.
Id43,1,en,Airport,,Afonso_Pena_International_Airport location São_José_dos_Pinhais,Afonso Pena International Airport is located in São José dos Pinhais.
Id94,1,en,Food,,Bakewell_tart ingredient Fruit_preserves,Fruit preserves are an ingredient in Bakewell tart.
Id5,4,en,University,sibling,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology numberOfPostgraduateStudents 700","Acharya Institute of Technology in Bangalor, India has 700 post-graduate students and is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."
Id9,3,en,Food,mixed,Almond division Flowering_plant Almond family Rosaceae Ajoblanco ingredient Almond,Almond is classed as a flowering plant and is from the rosaceae family. It is an ingredient used in Ajoblanco.
Id41,1,en,Building,,320_South_Boston_Building completionDate 1929,The construction of 320 South Boston Building was completed in 1929.
Id25,3,en,University,sibling,"Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology country ""India""","The Acharya Institute of Technology in Bangalore, India is affiliated with the Visvesvaraya Technological University."
Id138,2,en,Building,chain,"Asilomar_Conference_Grounds architect Julia_Morgan Julia_Morgan significantBuilding Chinatown,_San_Francisco",Julia Morgan is the architect of Asilomar Conference Grounds and Chinatown in San Francisco.
Id6,5,en,SportsTeam,mixed,Greece capital Athens Greece currency Euro Greece leader Alexis_Tsipras Greece leader Nikos_Voutsis A.E_Dimitra_Efxeinoupolis location Greece,The A.E Dimitra Efxeinoupolis club is located in Greece whose leader is Nikos Voutsis. Athens is the capital of Greece whose currency is the euro. Another leader there is Alexis Tsipras.
Id132,2,en,Airport,sibling,Antwerp_International_Airport operatingOrganisation Flemish_Government Antwerp_International_Airport owner Flemish_Region,Antwerp International Airport is operated by the Flemish government and is owned by the Flemish region.
Id6,3,en,Food,sibling,Arrabbiata_sauce country Italy Arrabbiata_sauce ingredient Chili_pepper Arrabbiata_sauce region Rome,Arrabbiata sauce is from the region of Rome in Italy and one of the main ingredients is chili pepper.
Id35,4,en,Building,mixed,Cleveland country United_States Cleveland governingBody Cleveland_City_Council Cleveland isPartOf Ohio 200_Public_Square location Cleveland,"200 Public Square is located in Cleveland, Ohio, a city in the United States that is governed by the Cleveland City Council."
Id212,3,en,Food,sibling,"Bhajji alternativeName ""Bhaji, bajji"" Bhajji country India Bhajji ingredient Vegetable","Bhajji, whose alternative names are Bhaji and Bajji, comes from the country of India. It includes vegetables."
Id267,2,en,Food,chain,Beef_kway_teow country Singapore Singapore language English_language,Beef kway teow is a popular dish in Singapore where they speak English.
Id75,3,en,Building,mixed,"Marriott_International foundationPlace Washington,_D.C. AC_Hotel_Bella_Sky_Copenhagen location Copenhagen AC_Hotel_Bella_Sky_Copenhagen tenant Marriott_International","The Marriott International, originally founded in Washington, D.C., is the tenant of AC Hotel Bella Sky Copenhagen."
Id31,2,en,Food,chain,Arem-arem country Indonesia Indonesia language Indonesian_language,"Arem-arem is a food found in Indonesia, where the language spoken bears the name of the country."
Id53,3,en,Astronaut,mixed,"William_Anders birthPlace British_Hong_Kong William_Anders dateOfRetirement ""1969-09-01"" British_Hong_Kong representative Chris_Patten","William Anders, who retired on the 1st of September 1969, was born in British Hong Kong where Chris Patten served as a representative."
Id22,1,en,Monument,,"Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku""",Baku Turkish Martyrs' Memorial is dedicated to the Ottoman Army soldiers killed in the Battle of Baku.
Id130,3,en,SportsTeam,sibling,"Agremiação_Sportiva_Arapiraquense nickname ""''Alvinegro"" Agremiação_Sportiva_Arapiraquense numberOfMembers 17000 Agremiação_Sportiva_Arapiraquense season 2015",Alvinegro is the nickname of Agremiação Sportiva Arapiraquense. They have 17000 members and play in 2015.
Id16,4,en,SportsTeam,mixed,Serie_B champions Carpi_F.C._1909 A.C._Cesena ground Italy A.C._Cesena league Serie_B A.C._Cesena numberOfMembers 23900,A.C. Cesena has 23900 members and its ground is located in Italy. They play in Serie B league where Carpi 1909 are previous champions.
Id56,1,en,Airport,,Agra_Airport runwayLength 1818.0,1818 is the length of the runway of Agra Airport.
Id41,1,en,ComicsCharacter,,Bianca_Castafiore creator Hergé,Hergé was the creator of the character Bianca Castafiore.
Id8,1,en,Monument,,"14th_New_Jersey_Volunteer_Infantry_Monument country ""United States""",14th New Jersey Volunteer Infantry Memorial is in the United States.
Id3,1,en,ComicsCharacter,,Airman_(comicsCharacter) creator Harry_Sahle,The creator of Airman (comics character) is Harry Sahle.
Id23,5,en,Monument,mixed,"Azerbaijan capital Baku Baku_Turkish_Martyrs'_Memorial dedicatedTo ""Ottoman Army soldiers killed in the Battle of Baku"" Baku_Turkish_Martyrs'_Memorial designer ""Hüseyin Bütüner and Hilmi Güner"" Baku_Turkish_Martyrs'_Memorial location Azerbaijan Baku_Turkish_Martyrs'_Memorial material ""Red granite and white marble""",The Baku Turkish Martyrs Memorial is made from red granite and white marble and is dedicated to the Ottoman Army soldiers killed in the Battle of Baku. It is located in Azerbaijan (capital Baku) and was designed by Huseyin Butuner and Hilmi Guner.
Id64,1,en,Building,,Adare_Manor architect Lewis_Nockalls_Cottingham,Lewis N. Cottingham is the architect of Adare Manor.
Id197,5,en,Airport,mixed,"Adirondack_Regional_Airport cityServed Lake_Placid,_New_York Adirondack_Regional_Airport cityServed Saranac_Lake,_New_York Saranac_Lake,_New_York country United_States Saranac_Lake,_New_York isPartOf Harrietstown,_New_York Lake_Placid,_New_York isPartOf New_York","Adirondack Regional Airport serves Lake Placid, New York and also Saranac Lake, part of Harrietstown in New York, United States."
Id15,3,en,Airport,sibling,"Aarhus_Airport operatingOrganisation Aktieselskab Aarhus_Airport runwayLength 2777.0 Aarhus_Airport runwayName ""10L/28R""","Operated by the Aktieselskab organisation, Aarhus airport has a runway that is 2777.0 metres long. It also has a runway with the name 10L/28R."
Id167,2,en,SportsTeam,chain,Peter_Stöger club SK_Rapid_Wien 1._FC_Köln manager Peter_Stöger,Peter Stoger plays for SK Rapid Wien and is the manager of 1. FC Koln.
